enemy, 8, 0.0321556%
command, 8, 0.0321556%
about, 8, 0.0321556%
Whose, 8, 0.0321556%
Till, 8, 0.0321556%
Though, 8, 0.0321556%
Then, 8, 0.0321556%
Since, 8, 0.0321556%
Re, 8, 0.0321556%
Mars, 8, 0.0321556%
Madam, 8, 0.0321556%
Florentine, 8, 0.0321556%
Faith, 8, 0.0321556%
COUNT, 8, 0.0321556%
wrong, 7, 0.0281362%
worth, 7, 0.0281362%
won, 7, 0.0281362%
why, 7, 0.0281362%
virtuous, 7, 0.0281362%
told, 7, 0.0281362%
times, 7, 0.0281362%
thus, 7, 0.0281362%
steal, 7, 0.0281362%
stay, 7, 0.0281362%
says, 7, 0.0281362%
saw, 7, 0.0281362%
sake, 7, 0.0281362%
run, 7, 0.0281362%
rest, 7, 0.0281362%
point, 7, 0.0281362%
once, 7, 0.0281362%
neither, 7, 0.0281362%
ne, 7, 0.0281362%
mean, 7, 0.0281362%
makes, 7, 0.0281362%
lords, 7, 0.0281362%
late, 7, 0.0281362%
horse, 7, 0.0281362%
herself, 7, 0.0281362%
heard, 7, 0.0281362%
haste, 7, 0.0281362%
gentlewoman, 7, 0.0281362%
flesh, 7, 0.0281362%
fit, 7, 0.0281362%
favour, 7, 0.0281362%
face, 7, 0.0281362%
even, 7, 0.0281362%
end, 7, 0.0281362%
eat, 7, 0.0281362%
displeasure, 7, 0.0281362%
danger, 7, 0.0281362%
courtier, 7, 0.0281362%
common, 7, 0.0281362%
cheek, 7, 0.0281362%
camp, 7, 0.0281362%
boy, 7, 0.0281362%
bound, 7, 0.0281362%
Yes, 7, 0.0281362%
Upon, 7, 0.0281362%
Thy, 7, 0.0281362%
Than, 7, 0.0281362%
Love, 7, 0.0281362%
Lords, 7, 0.0281362%
Her, 7, 0.0281362%
Bertram, 7, 0.0281362%
write, 6, 0.0241167%
writ, 6, 0.0241167%
words, 6, 0.0241167%
vow, 6, 0.0241167%
virgin, 6, 0.0241167%
trust, 6, 0.0241167%
took, 6, 0.0241167%
thyself, 6, 0.0241167%
three, 6, 0.0241167%
tender, 6, 0.0241167%
taken, 6, 0.0241167%
strong, 6, 0.0241167%
strive, 6, 0.0241167%
strange, 6, 0.0241167%
speed, 6, 0.0241167%
sent, 6, 0.0241167%
royal, 6, 0.0241167%
reputation, 6, 0.0241167%
remembrance, 6, 0.0241167%
question, 6, 0.0241167%
purpose, 6, 0.0241167%
prayers, 6, 0.0241167%
play, 6, 0.0241167%
pilgrim, 6, 0.0241167%
pass, 6, 0.0241167%
pains, 6, 0.0241167%
office, 6, 0.0241167%
note, 6, 0.0241167%
monsieur, 6, 0.0241167%
mind, 6, 0.0241167%
marriage, 6, 0.0241167%
maiden, 6, 0.0241167%
looks, 6, 0.0241167%
living, 6, 0.0241167%
light, 6, 0.0241167%
lies, 6, 0.0241167%
liege, 6, 0.0241167%
lend, 6, 0.0241167%
ld, 6, 0.0241167%
law, 6, 0.0241167%
last, 6, 0.0241167%
knowledge, 6, 0.0241167%
ill, 6, 0.0241167%
humble, 6, 0.0241167%
hither, 6, 0.0241167%
highness, 6, 0.0241167%
heavy, 6, 0.0241167%
head, 6, 0.0241167%
gentleman, 6, 0.0241167%
follow, 6, 0.0241167%
finger, 6, 0.0241167%
else, 6, 0.0241167%
ears, 6, 0.0241167%
duty, 6, 0.0241167%
dost, 6, 0.0241167%
devil, 6, 0.0241167%
dearest, 6, 0.0241167%
cure, 6, 0.0241167%
credit, 6, 0.0241167%
creature, 6, 0.0241167%
course, 6, 0.0241167%
cold, 6, 0.0241167%
choose, 6, 0.0241167%
choice, 6, 0.0241167%
child, 6, 0.0241167%
cat, 6, 0.0241167%
cargo, 6, 0.0241167%
care, 6, 0.0241167%
buy, 6, 0.0241167%
body, 6, 0.0241167%
bid, 6, 0.0241167%
between, 6, 0.0241167%
begin, 6, 0.0241167%
bear, 6, 0.0241167%
age, 6, 0.0241167%
One, 6, 0.0241167%
Must, 6, 0.0241167%
Monsieur, 6, 0.0241167%
Marry, 6, 0.0241167%
MARIANA, 6, 0.0241167%
III, 6, 0.0241167%
II, 6, 0.0241167%
Hath, 6, 0.0241167%
Diana, 6, 0.0241167%
Are, 6, 0.0241167%
An, 6, 0.0241167%
wisdom, 5, 0.0200973%
wilt, 5, 0.0200973%
whipped, 5, 0.0200973%
welcome, 5, 0.0200973%
weak, 5, 0.0200973%
ways, 5, 0.0200973%
valour, 5, 0.0200973%
unto, 5, 0.0200973%
undertake, 5, 0.0200973%
twas, 5, 0.0200973%
try, 5, 0.0200973%
truly, 5, 0.0200973%
together, 5, 0.0200973%
title, 5, 0.0200973%
themselves, 5, 0.0200973%
tears, 5, 0.0200973%
sworn, 5, 0.0200973%
suit, 5, 0.0200973%
suffer, 5, 0.0200973%
success, 5, 0.0200973%
state, 5, 0.0200973%
speech, 5, 0.0200973%
spare, 5, 0.0200973%
sovereign, 5, 0.0200973%
sorrow, 5, 0.0200973%
something, 5, 0.0200973%
six, 5, 0.0200973%
sirrah, 5, 0.0200973%
sing, 5, 0.0200973%
simple, 5, 0.0200973%
shame, 5, 0.0200973%
shalt, 5, 0.0200973%
self, 5, 0.0200973%
seen, 5, 0.0200973%
same, 5, 0.0200973%
right, 5, 0.0200973%
report, 5, 0.0200973%
recovered, 5, 0.0200973%
re, 5, 0.0200973%
proud, 5, 0.0200973%
prince, 5, 0.0200973%
present, 5, 0.0200973%
praise, 5, 0.0200973%
pay, 5, 0.0200973%
particular, 5, 0.0200973%
paper, 5, 0.0200973%
next, 5, 0.0200973%
needs, 5, 0.0200973%
nay, 5, 0.0200973%
morrow, 5, 0.0200973%
meet, 5, 0.0200973%
means, 5, 0.0200973%
meaning, 5, 0.0200973%
married, 5, 0.0200973%
lead, 5, 0.0200973%
lay, 5, 0.0200973%
lawful, 5, 0.0200973%
language, 5, 0.0200973%
kept, 5, 0.0200973%
honourable, 5, 0.0200973%
holds, 5, 0.0200973%
hers, 5, 0.0200973%
hate, 5, 0.0200973%
grief, 5, 0.0200973%
gold, 5, 0.0200973%
goes, 5, 0.0200973%
given, 5, 0.0200973%
gift, 5, 0.0200973%
get, 5, 0.0200973%
gentlemen, 5, 0.0200973%
four, 5, 0.0200973%
fly, 5, 0.0200973%
fancy, 5, 0.0200973%
fall, 5, 0.0200973%
em, 5, 0.0200973%
doth, 5, 0.0200973%
deceived, 5, 0.0200973%
country, 5, 0.0200973%
corrupt, 5, 0.0200973%
confess, 5, 0.0200973%
colour, 5, 0.0200973%
case, 5, 0.0200973%
canst, 5, 0.0200973%
boys, 5, 0.0200973%
army, 5, 0.0200973%
anon, 5, 0.0200973%
already, 5, 0.0200973%
alone, 5, 0.0200973%
aid, 5, 0.0200973%
act, 5, 0.0200973%
Take, 5, 0.0200973%
Saint, 5, 0.0200973%
Pray, 5, 0.0200973%
Or, 5, 0.0200973%
On, 5, 0.0200973%
Nothing, 5, 0.0200973%
Nor, 5, 0.0200973%
More, 5, 0.0200973%
Lafeu, 5, 0.0200973%
Jaques, 5, 0.0200973%
Indeed, 5, 0.0200973%
Dian, 5, 0.0200973%
At, 5, 0.0200973%
ACT, 5, 0.0200973%
younger, 4, 0.0160778%
worse, 4, 0.0160778%
worn, 4, 0.0160778%
work, 4, 0.0160778%
wonder, 4, 0.0160778%
wishes, 4, 0.0160778%
weigh, 4, 0.0160778%
vows, 4, 0.0160778%
virtues, 4, 0.0160778%
valiant, 4, 0.0160778%
undone, 4, 0.0160778%
twere, 4, 0.0160778%
turn, 4, 0.0160778%
tricks, 4, 0.0160778%
touch, 4, 0.0160778%
token, 4, 0.0160778%
thrive, 4, 0.0160778%
thinks, 4, 0.0160778%
talk, 4, 0.0160778%
stood, 4, 0.0160778%
stocks, 4, 0.0160778%
stars, 4, 0.0160778%
star, 4, 0.0160778%
spoken, 4, 0.0160778%
space, 4, 0.0160778%
sound, 4, 0.0160778%
soldiers, 4, 0.0160778%
skill, 4, 0.0160778%
single, 4, 0.0160778%
sin, 4, 0.0160778%
sharp, 4, 0.0160778%
servant, 4, 0.0160778%
seems, 4, 0.0160778%
scar, 4, 0.0160778%
rt, 4, 0.0160778%
rich, 4, 0.0160778%
respect, 4, 0.0160778%
remedy, 4, 0.0160778%
received, 4, 0.0160778%
receive, 4, 0.0160778%
reasons, 4, 0.0160778%
read, 4, 0.0160778%
ransom, 4, 0.0160778%
quickly, 4, 0.0160778%
questions, 4, 0.0160778%
promise, 4, 0.0160778%
price, 4, 0.0160778%
pretty, 4, 0.0160778%
presently, 4, 0.0160778%
patient, 4, 0.0160778%
paid, 4, 0.0160778%
owes, 4, 0.0160778%
nose, 4, 0.0160778%
near, 4, 0.0160778%
move, 4, 0.0160778%
midnight, 4, 0.0160778%
mercy, 4, 0.0160778%
melancholy, 4, 0.0160778%
match, 4, 0.0160778%
manners, 4, 0.0160778%
low, 4, 0.0160778%
lie, 4, 0.0160778%
lest, 4, 0.0160778%
leisure, 4, 0.0160778%
kiss, 4, 0.0160778%
kind, 4, 0.0160778%
justice, 4, 0.0160778%
just, 4, 0.0160778%
interpreter, 4, 0.0160778%
intents, 4, 0.0160778%
inform, 4, 0.0160778%
idle, 4, 0.0160778%
hurt, 4, 0.0160778%
hundred, 4, 0.0160778%
hearts, 4, 0.0160778%
guarded, 4, 0.0160778%
grow, 4, 0.0160778%
grant, 4, 0.0160778%
gracious, 4, 0.0160778%
goodness, 4, 0.0160778%
